Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Fraction		"UV_CUT_TEMP@100,BASEM (1)"		Run Log	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Fraction	ml	mAU	ml	Logbook
-174.500015	2.68655	-174.500015	27.764244	-174.316757	100			267.015686	6.D.3	0.732986	-0.035875		
-174.486694	2.794449	-174.486694	27.774881	-174.300095	100			272.016785	6.D.4	0.746307	-0.035846		
-174.473358	2.893533	-174.473358	27.783789	-174.283447	100			277.016113	6.D.5	0.759644	-0.035817		
-174.460037	2.976992	-174.460037	27.79085	-174.266785	100			282.017181	6.D.6	0.772964	-0.035788		
-174.446716	3.048078	-174.446716	27.794033	-174.250122	100			287.016602	Waste(Frac)	0.786285	-0.035759		
-174.43338	3.116609	-174.43338	27.79517	-174.233459	100			287.492493	Waste(Frac)	0.799622	-0.03573		
-174.420059	3.171859	-174.420059	27.795391	-174.216812	100					0.812943	-0.035699		
-174.406723	3.216327	-174.406723	27.794451	-174.20015	100					0.826279	-0.035668		
-174.393402	3.249989	-174.393402	27.794168	-174.183487	100					0.8396	-0.035637		
-174.380081	3.277508	-174.380081	27.795151	-174.166824	100					0.852921	-0.035606		
-174.366745	3.30162	-174.366745	27.796764	-174.150162	100					0.866257	-0.035574		
-174.353424	3.318941	-174.353424	27.798401	-174.133514	100					0.879578	-0.035543		
-174.340088	3.331803	-174.340088	27.800037	-174.116852	100					0.892914	-0.035512		
-174.326767	3.341652	-174.326767	27.802992	-174.100189	100					0.906235	-0.035481		
-174.313446	3.350374	-174.313446	27.805464	-174.083527	100					0.919556	-0.03545		
-174.30011	3.353942	-174.30011	27.808056	-174.066879	100					0.932892	-0.035419		
-174.286789	3.355728	-174.286789	27.810627	-174.050217	100					0.946213	-0.035392		
-174.273453	3.359473	-174.273453	27.812	-174.033554	100					0.959549	-0.035365		
-174.260132	3.362713	-174.260132	27.813229	-174.016891	100					0.97287	-0.035338		
-174.246811	3.3607	-174.246811	27.816587	-174.000244	100					0.986191	-0.03531		
-174.233475	3.354327	-174.233475	27.821623	-173.983582	100					0.999527	-0.035283		
-174.220154	3.349923	-174.220154	27.82518	-173.966919	100					1.012848	-0.035256		
-174.206833	3.345357	-174.206833	27.826788	-173.950256	100					1.026169	-0.035229		
-174.193497	3.331132	-174.193497	27.828978	-173.933609	100					1.039505	-0.035202		
-174.180176	3.312112	-174.180176	27.83231	-173.916946	100					1.052826	-0.035175		
-174.16684	3.287346	-174.16684	27.835402	-173.900284	100					1.066162	-0.035147		
-174.153519	3.263003	-174.153519	27.837347	-173.883621	100					1.079483	-0.035119		
-174.140198	3.238741	-174.140198	27.838509	-173.866974	100					1.092804	-0.035091		
-174.126862	3.217581	-174.126862	27.83672	-173.850311	100					1.10614	-0.035062		
-174.113541	3.195581	-174.113541	27.834414	-173.833649	100					1.119461	-0.035034		
-174.100204	3.172583	-174.100204	27.833672	-173.816986	100					1.132797	-0.035006		
-174.086884	3.149607	-174.086884	27.834339	-173.800323	100					1.146118	-0.034978		
-174.073563	3.130309	-174.073563	27.837498	-173.783676	100					1.159439	-0.034949		
-174.060226	3.107283	-174.060226	27.841282	-173.767014	100					1.172775	-0.034921		
-174.046906	3.0792	-174.046906	27.843899	-173.750351	100					1.186096	-0.034893		
-174.033569	3.054315	-174.033569	27.845573	-173.733688	100					1.199432	-0.034864		
-174.020248	3.033365	-174.020248	27.846445	-173.717041	100					1.212753	-0.034835		
-174.006927	3.006629	-174.006927	27.845182	-173.700378	100					1.226074	-0.034806		
-173.993591	2.979713	-173.993591	27.843975	-173.683716	100					1.23941	-0.034777		
